Name,Path
"WD01","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD02","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD03","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD04","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD05","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD06","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD07","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD08","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD09","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD10","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD11","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD12","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD13","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD14","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD15","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD16","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD17","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD18","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD19","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD20","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD21","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD22","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD23","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD24","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD25","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD26","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD27","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD28","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD29","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD30","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD31","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD32","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD33","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD34","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD35","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD36","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD37","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD38","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD39","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD40","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD41","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD42","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD43","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD44","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD45","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD46","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD47","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD48","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD49","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD50","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD51","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD52","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD53","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD54","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD55","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD56","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD57","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD58","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD59","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD60","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD61","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD62","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD63","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD64","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD65","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WD66","OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WL01","OU=Laptops,OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WL02","OU=Laptops,OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WL03","OU=Laptops,OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WL04","OU=Laptops,OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
"WL05","OU=Laptops,OU=Computers,OU=Paris,OU=Sites,OU=CORP,DC=corp,DC=priv"
